0;Bandit at the map located northwest from the map with the blue fork (south entrance)
1;Cactiling located south at the large sand pit map
2;Psicorp located south at the large sand pit map
3;Cactiling located east at the large sand pit map
4;Psicorp at the map with the blue fork (south entrance)
5;Cactiling located on the back of the map with the Bandit Hideout entrance
6;Cactiling located the closest of the Bandit Hideout entrance
7;Thief at the map located east from the Traveling Caravan shop 
8;Arrow Worm at the map located north of the map with the blue fork (south entrance)
10;Arrow Worm at the map located west from the map where the Traveling Caravan was ambushed
11;Cactiling at the map located east from Defiant Root
12;Psicorp at the map located east from Defiant Root
13;Thief at the large sand pit map
14;Bandit at the large sand pit map
15;Midge at the map located north of the map where Golden Settlement is accessible from
16;Psicorp at the map located north of the map where Golden Settlement is accessible from
17;Chomper at the map located north of Golden Settlement
18;Cactiling at the map located north of Golden Settlement
19;Bandit at the map with the blue fork (south entrance)
20;Burglar at the map located north of the map where Golden Settlement is accessible from
21;Bandit at the map located east from the map where Golden Settlement is accessible from
22;Thief at the map located south from the Caravan shop
23;Burglar at the map located east from the Caravan shop
24;Burglar at the map where the Traveling Caravan was ambushed
25;Getting the red berry by cutting a bush on an elevated platform at the map located north of the Golden Settlement
50;Psicorp at the map located south from the Caravan shop
51;Arrow Worm at the map located south from the Caravan shop
52;Leftmost Cactiling at the map located west from the map with the blue fork (south entrance)
53;Rightmost Cactiling at the map located west from the map with the blue fork (south entrance)
54;Underling at the map located northwest from the map with the blue fortk (south entrance)
55;Psicorp at the map located northwest from the map with the blue fortk (south entrance)
56;Bandit at the map where the Traveling Caravan was ambushed
58;Cactiling at the map located east from the map with the large sand pit
59;Thief at the map located east from the map with the large sand pit
60;Getting a Crunchy leaf by cutting the leftmost bush at the map located south from the Traveling Caravan shop
65;Getting a blue berry by cutting the bush on the front right of the left side of the map located west from the map where the Traveling Caravan was ambushed
66;Cutting the bush on the front left of the left side of the map located west from the map where the Caravan was ambushed
67;Getting a blue berry by cutting the bush on the back left of the left side of the map located west from the map where the Traveling Caravan was ambushed
68;Getting a red berry by cutting the bush on the back right of the left side of the map located west from the map where the Traveling Caravan was ambushed
