0;Chapter 1, went northwest on the map with Chuck at the Outskirt~Set to false at the start of Chapter 2, then to true when getting into the mines 
1;Talked to Utter for the first time in the City plaza
2;False when new unchecked quests are available, set to true when talking to Utter about new quests or checking the board
3;Took the Inn Review Required quest
4;Slept at the Inn for the first time at Ant Kingdom City plaza after taking the Inn Review Required quest
5;Completed the Inn Review Required quest
6;Talked to Samira for the first time
7;Chapter 1, fixed the bridge in Snakemouth Den by hitting the switch
8;Examined the Underground Bar entrance for the first time at Ant Kingdom City commercial area
9;UNKNOWN
10;Chapter 1, received tattle tutorial~Set to false in Chapter 3 when the Overseer is following you at the Honey Factory, set to true afterwards
11;Chapter 1, got Vi’s Beemerang Toss
12;Set to true when giving the first of the 2 ingredients to a chef, set to false afterwards (confirming or talking after cancelling)
13;Chapter 1, pushed both pressure plates in Snakemouth Den in front of the door
14;Chapter 1, opened the door behind 2 pressure plates at Snakemouth Den
15;Chapter 1, started (after combat tutorial)
16;Chapter 1, Leif is now able to fight in battle (also got Freeze) 
17;Chapter 1, got Kabbu’s Horn Slash
18;Chapter 4, got Kabbu’s Beetle Dig
19;Chapter 6, got Vi’s Bee Fly
20;Chapter 3, hit the switch on the first room of the Honey Factory (also got Shield)
21;Chapter 2, got Vi’s Beemerang Halt
22;Chapter 1, after pan-in cutscene when arriving at the entrance of Snakemouth Den
23;Got the HP Plus medal in Snakemouth Den
24;Received the Turn Relay tutorial
25;Chapter 1, read an ancient tablet in Snakemouth Den (after Leif said they can decipher the text)
26;Chapter 1, talked for the first time to Gen and Eri after combat tutorial at the Explorers' Association
27;Chapter 1, met Leif (after the cutscene is done)
28;Chapter 1, opened the gate near the Explorers' Association
29;Chapter 1, hit the switch to raise the platform in Snakemouth Den
30;Chapter 1, Approached the first yellow crystal (or after save tutorial?)
31;Received medals tutorial
32;Received Hard Mode after talking to Artis
33;Chapter 1, hit the big switch on the left path of Snakemouth Den (for the door)
34;Chapter 1, hit the big switch on the right path of Snakemouth Den (for the door)
35;Chapter 1, unlocked the door in Snakemouth Den after hitting both big switches
36;Chapter 1, arrived at the map with the door in Snakemouth Den (water droplets explanation cutscene)
37;Used the B.O.S.S. system for the first time~Also set to false when doing EX mode, set back to true once done 
38;Chapter 4, beaten the Watcher at the Ancient Castle
39;Chapter 5, got Kabbu’s upgraded Horn Dash
40;UNKNOWN used in event 25?
41;End of Chapter 1
42;Got the Poison Resistance medal at Snakemouth Den
43;Talked to Samira for the second time (after she’s happy you are back)
44;Took the I Want a New Taste quest
45;Completed the I Want a New Taste quest
46;Talked to Chuck about his abode for the first time
47;Took the Theater Help Wanted! quest
48;Talked to Chubee at the Theater after taking the Theater Help Wanted! quest
49;Completed the Theater Help Wanted! quest
50;Took the Lost Toy quest
51;UNKNOWN used in event 32
52;Gave the Dotted Ball to Tod, completing the Lost Toy quest
53;Took the My Brother is Gone! quest
54;Talked to Leby after taking the My Brother is Gone! quest
55;Completed the My Brother is Gone! quest
56;A hard mode boss is available for turn-in to Artis for a prize medal (set to false once turned in)
57;Talked to the Fuzzo in the Theater for the first time (Bug Ranger Plushie cutscene)
58;Bought the Bug Ranger Plushie in the Theater
59;Got the Bug Me Not! medal on the roof of the gray house at Ant Kingdom City residential area
60;Got the Poison Defender medal in Snakemouth Den
61;Talked to Kina for the first time at the Explorers' Association
62;Talked to Chubee after the festival of Golden Settlement before taking the Theater Help Wanted! quest at the Ant Theater
63;Completed the game
64;Received quest board tutorial from Utter
65;Talked to Tatel at the Underground Bar
66;Got to the Ant Kingdom City bridge for the first time after the end of Chapter 1 (after the cutscene)
67;Start of Chapter 2 (after the cutscene in the throne room of the Ant Palace)
68;Chapter 2, after the Leif’s memory cutscene when getting out of the throne room of the Ant Palace
69;Talked to the closest miner of the entrance of the mine for the first time
70;Took the Lost Books quest
71;Got the Lore Book at the Ant Palace library
72;Talked to Gen & Eri after the end of Chapter 1 at the Explorers' Association
73;Chapter 2, rescued Neolith (after all cutscenes)
74;UNKNOWN
75;Opened the tunnel from Defiant Root to the mines
76;Opened the tunnel from Golden Settlement to the mines
77;Opened the tunnel from Forsaken Lands to the mines
78;Opened the tunnel from Metal Island to the mines
79;Opened the tunnel from Rubber Prison to the mines
80;Opened the tunnel from Far Grasslands to the mines
81;Talked to Diana for the first time at Golden Settlement
82;Got the Dotted Ball in the Golden Path tunnel
83;Opened the door to Golden Settlement that leads to Lost Sands
84;Chapter 2, after the cutscene when approaching Aria at the center of Golden Settlement before the festival
85;Chapter 2, waited for nightfall
86;Chapter 2, beaten Acolyte Aria
87;Got the Lore Book behind the Sunset Inn at Golden Settlement
88;End of Chapter 2 (after all the cutscenes)
89;UNKNOWN
90;Chapter 2, opened the windmill doors at Golden Settlement
91;Chapter 2, got the Hard Seed from the worker in front of the windmill at Golden Settlement after opening its door
92;Chapter 1, talked to Zasp for the first time after combat tutorial
93;Chapter 2, talked to Zasp about the eating competition at Golden Settlement
94;Chapter 2, talked to Chubee about the eating competition at Golden Settlement
95;Chapter 2, finished the eating competition (win or lose) during the festival
96;Chapter 2, got 15+ points at Whack-A-Worm during the festival at Golden Settlement to get the Sun Offering
97;Chapter 2, arrived at the center map of Golden Settlement after getting both Offerings (after the cutscene)
98;Chapter 2, got Kabbu’s Pep Talk
99;Chapter 2, lost the eating competition during the festival
100;Chapter 2, won the eating competition during the festival
101;Chapter 2, got the Moon Offering during the festival
102;Chapter 2, got the Weak Stomach medal from losing at the eating competition during the festival
103;Chapter 2, after the cutscene where the path to the Golden Hills has opened
104;Chapter 2, talked to The Mayor for the first time at Golden Settlement
105;Chapter 2, talked to Chubee after losing against her in the eating competition during the festival
106;Got the Mothiva Doll at Golden Settlement
107;Got to the Ant Kingdom City plaza for the first time after the end of Chapter 1 (after the cutscene)
108;Received the Crystal Berry tutorial
109;Chapter 2, placed the Wooden Crank on the right hole at the entrance of Golden Hills
110;Chapter 2, placed the Wooden Crank on the hole at the left path from the entrance of Golden Hills
111;Chapter 2, talked to Venus after arriving at the entrance of Golden Hills
112;Chapter 2, got the Wooden Crank on the left path from the entrance of Golden Hills
113;Chapter 2, got the Big Crank Top Half at the Golden Hills
114;Approached Eetl at the Explorers' Association after the end of Chapter 1
115;Chapter 2, after the hungry cutscene at the Ant Kingdom City plaza
116;Chapter 2, got the Wooden Crank on the right path from the entrance of Golden Hills
117;Chapter 2, got the Big Crank Bottom Half at Golden Hills
118;Chapter 2, beaten Zasp & Mothiva at Golden Hills
119;Chapter 2, cooked for the first time
120;Chapter 2, after the eating cutscene at Ant Kingdom City commercial area
121;Got the Back Support medal on the map with the Big Crank Bottom Half at Golden Hills
122;Chapter 2, beaten the 2 Venus Buds on the backside of the map with the Big Crank Bottom Half at Golden Hills
123;Talked to the Fortune Teller for the first time at Golden Settlement
124;Chapter 2, arrived at the top of Golden Hills (after the cutscene)
125;Chapter 2, gave the Sun Offering at the top of Golden Hills
126;Chapter 2, gave the Moon Offering at the top of Golden Hills
127;Chapter 2, pulled the lever at the top of Golden Hills
128;Chapter 2, placed the Wooden Crank at the top of Golden Hills
