0;BugariaOutskirts;Located to the right of the Save Crystal at the entrance of Snakemouth Den
1;SnakemouthDen;In a bush on the left platform at the map with the HP Plus
2;SnakemouthDen;Behind a mushroom on the back left part of the room with the giant door
3;BugariaOutskirts;Behind Chuck's abode
4;GoldenSettlement;Inside the windmill
5;AntKingdomCity;Reward given by Queen Elizant II for retrieving the Ancient Mask
6;BugariaOutskirts;In a dig spot at the map south of the Explorers' Association
7;GoldenSettlement;In a dig spot at the Aphids & Cochineals farm
8;GoldenPath;On a hill located to the right of the map with the Cable Car
9;GoldenHills;On a hill located to the right of the map with the L shaped bridge
10;BugariaOutskirts;Behind the right side of the wooden docks at the Bugaria Piers 
11;AntKingdomCity;Reward for winning the Spy Card tournament 
12;AntKingdomCity;Reward given by Queen Elizant II for retrieving the Ancient Tablet
13;AntKingdomCity;Hidden in the the music box at the Theater 
14;LostSands;In a dig spot on a hill at the map of the Travelling Caravan ambush 
15;LostSands;Reward given for rescuing the Traveling Caravan
16;HoneyFactory;On a platform to the right at the map with the ice block puzzle
17;HoneyFactory;Behind boxes on top of the main storage map
18;AntKingdomCity;Reward given by Queen Elizant II for retrieving the Ancient Key
19;BanditHideout;Given from Cerise when talking to her for the first time
20;BanditHideout;In a dig spot on the right side of the cafeteria
21;LostSands;In a dig spot inside a demolished bulding at the same map that the Heaven Key is obtained
22;GoldenSettlement;In a dig spot surrounded by some large rocks south of the entrance to Golden Settlement
23;AncientCastle;Located to the far tight of the map with moving switch platforms
24;AncientCastle;Hidden in a small room to the right of the map with rolling rocks
25;AntKingdomCity;Reward for clearing the Lost Books quest
26;FarGrasslands;On a giant root on the left side of the map located west from the east entrance of the Far Grasslands
27;WildSwamplands;In a dig spot underneath breakable rocks at the map with switches and moving platforms
28;TermiteCapitol;On a piller at the Piers
29;AntKingdomCity;In a dig spot located on the back side of the map
30;BugariaOutskirts;In a dig spot next to Madeleine's house
31;FarGrasslands;In a dig spot at the east entrance of the Far Grasslands
32;SnakemouthDen;Inside a curly vine on the upper right part of the first map of Snakemouth Den
33;TermiteCapitol;Behind the stairs on the right side of the Throne Room
34;AntKingdomCity;In a dig spot at the Ant Mines break room
35;BeeKingdomHive;Reward for clearing the In Search of Paint quest
36;MetalIsland;On top of Master Slice's restaurant
37;FarGrasslands;On the upper left part of the Wizard's tower library
38;ForsakenLands;Given by the pink spider when placing an item for the first time
39;GoldenSettlement;Given by the Fortune Teller by talking to him from behind
40;GoldenPath;On a platfrom to the right side of the map leading to the Devourer
41;FishingVillage;Reward for clearing the Sweets from Outside! quest
42;UpperSnakemouth;On left side of the map with the coloured switch puzzle
43;AntKingdomCity;Reward at the library for finding 10 discoveries
44;AntKingdomCity;Reward at the library for finding 15 discoveries
45;AntKingdomCity;Reward at the library for finding 35 discoveries
46;AntKingdomCity;Reward at the library for finding 40 discoveries
47;AntKingdomCity;Reward at the library for finding 45 discoveries
48;GiantsLair;In a dig spot in the front left corner of the second room from the west
49;GiantsLair;Located behind the milk carton on the second floor of the fridge
